protocol,model,metric,subset,excluded_folds,n_folds,mean,std,ci_low,ci_high,delta_vs_all_folds
onset,logistic,f1,excluding_episode_dominated,none,5,0.13146997929606624,0.14382902221911723,0.0,0.31005729808239335,0.0
onset,logistic,precision,all_folds,none,5,0.35,0.4183300132670378,0.0,0.8694253168417838,0.0
onset,logistic,precision,excluding_episode_dominated,none,5,0.35,0.4183300132670378,0.0,0.8694253168417838,0.0
onset,logistic,recall,all_folds,none,5,0.09371794871794872,0.11038342415748435,0.0,0.2307770724927527,0.0
onset,logistic,recall,excluding_episode_dominated,none,5,0.09371794871794872,0.11038342415748435,0.0,0.2307770724927527,0.0
onset,logistic,brier,all_folds,none,5,0.04691431006672995,0.024069952228840893,0.017027516945693762,0.07680110318776613,0.0
onset,logistic,brier,excluding_episode_dominated,none,5,0.04691431006672995,0.024069952228840893,0.017027516945693762,0.07680110318776613,0.0
onset,xgboost,roc_auc,all_folds,none,5,0.8342837596631163,0.11199350641011233,0.6952254547210773,0.9733420646051553,0.0
onset,xgboost,roc_auc,excluding_episode_dominated,none,5,0.8342837596631163,0.11199350641011233,0.6952254547210773,0.9733420646051553,0.0
onset,xgboost,pr_auc,all_folds,none,5,0.3007018574708441,0.26167616344820965,0.0,0.6256157288125698,0.0
onset,xgboost,pr_auc,excluding_episode_dominated,none,5,0.3007018574708441,0.26167616344820965,0.0,0.6256157288125698,0.0
onset,xgboost,f1,all_folds,none,5,0.16638655462184876,0.3104925459201206,0.0,0.5519139706014915,0.0
onset,xgboost,f1,excluding_episode_dominated,none,5,0.16638655462184876,0.3104925459201206,0.0,0.5519139706014915,0.0
onset,xgboost,precision,all_folds,none,5,0.20384615384615384,0.33408445943429177,0.0,0.6186667994850799,0.0
onset,xgboost,precision,excluding_episode_dominated,none,5,0.20384615384615384,0.33408445943429177,0.0,0.6186667994850799,0.0
onset,xgboost,recall,all_folds,none,5,0.14871794871794872,0.2914517382232374,0.0,0.5106030792836505,0.0
onset,xgboost,recall,excluding_episode_dominated,none,5,0.14871794871794872,0.2914517382232374,0.0,0.5106030792836505,0.0
onset,xgboost,brier,all_folds,none,5,0.04612405249572722,0.02452477769965641,0.015672518962113333,0.07657558602934111,0.0
onset,xgboost,brier,excluding_episode_dominated,none,5,0.04612405249572722,0.02452477769965641,0.015672518962113333,0.07657558602934111,0.0
onset,lightgbm,roc_auc,all_folds,none,5,0.8026327807488141,0.1899910296248868,0.5667277592819273,1.0,0.0
onset,lightgbm,roc_auc,excluding_episode_dominated,none,5,0.8026327807488141,0.1899910296248868,0.5667277592819273,1.0,0.0
onset,lightgbm,pr_auc,all_folds,none,5,0.2845802707837728,0.17078096015441288,0.07252770098136677,0.49663284058617885,0.0
onset,lightgbm,pr_auc,excluding_episode_dominated,none,5,0.2845802707837728,0.17078096015441288,0.07252770098136677,0.49663284058617885,0.0
onset,lightgbm,f1,all_folds,none,5,0.07936507936507936,0.12498425196844144,0.0,0.23455352537672103,0.0
onset,lightgbm,f1,excluding_episode_dominated,none,5,0.07936507936507936,0.12498425196844144,0.0,0.23455352537672103,0.0
onset,lightgbm,precision,all_folds,none,5,0.10153846153846154,0.1441563910784305,0.0,0.280532262451531,0.0
onset,lightgbm,precision,excluding_episode_dominated,none,5,0.10153846153846154,0.1441563910784305,0.0,0.280532262451531,0.0
onset,lightgbm,recall,all_folds,none,5,0.06871794871794872,0.11556111856330784,0.0,0.21220602923016474,0.0
onset,lightgbm,recall,excluding_episode_dominated,none,5,0.06871794871794872,0.11556111856330784,0.0,0.21220602923016474,0.0
onset,lightgbm,brier,all_folds,none,5,0.06058724586215828,0.03847458919650709,0.012814733611175938,0.10835975811314062,0.0
onset,lightgbm,brier,excluding_episode_dominated,none,5,0.06058724586215828,0.03847458919650709,0.012814733611175938,0.10835975811314062,0.0
nested_cv,xgboost,roc_auc,all_folds,none,5,0.8397666758744837,0.19658240045418543,0.5956773865500464,1.0,0.0
nested_cv,xgboost,roc_auc,excluding_episode_dominated,4,4,0.80000223199044,0.20244698131047686,0.4778639081467565,1.0,-0.039764443884043765
nested_cv,xgboost,pr_auc,all_folds,none,5,0.6011479187134563,0.44190139781627724,0.052454862289065374,1.0,0.0
nested_cv,xgboost,pr_auc,excluding_episode_dominated,4,4,0.501507960355886,0.4406604722980994,0.0,1.0,-0.09963995835757034
nested_cv,xgboost,f1,all_folds,none,5,0.5017987697596776,0.4374779312764578,0.0,1.0,0.0
nested_cv,xgboost,f1,excluding_episode_dominated,4,4,0.3808301240907146,0.3970220383119194,0.0,1.0,-0.12096864566896304
nested_cv,xgboost,precision,all_folds,none,5,0.5673833943833944,0.468937680447071,0.0,1.0,0.0
nested_cv,xgboost,precision,excluding_episode_dominated,4,4,0.4635149572649573,0.4704030711293534,0.0,1.0,-0.10386843711843707
nested_cv,xgboost,recall,all_folds,none,5,0.47674270557029175,0.4500885559177086,0.0,1.0,0.0
nested_cv,xgboost,recall,excluding_episode_dominated,4,4,0.3488019451812555,0.40122398951784916,0.0,0.9872388466973896,-0.12794076038903623
nested_cv,xgboost,brier,all_folds,none,5,0.07040472637503355,0.042000221573123116,0.018254563331105512,0.12255488941896159,0.0
nested_cv,xgboost,brier,excluding_episode_dominated,4,4,0.0840184257942008,0.03341366093509784,0.030849834899748463,0.13718701668865313,0.01361369941916725
nested_cv,lightgbm,roc_auc,all_folds,none,5,0.8822289695292505,0.1409662283982495,0.707196278764575,1.0,0.0
nested_cv,lightgbm,roc_auc,excluding_episode_dominated,4,4,0.8531780614413436,0.1444608424229781,0.6233086243277542,1.0,-0.02905090808790689
nested_cv,lightgbm,pr_auc,all_folds,none,5,0.6308249613779594,0.3869680330937053,0.1503406862297828,1.0,0.0
nested_cv,lightgbm,pr_auc,excluding_episode_dominated,4,4,0.5386310940906726,0.3781458498330711,0.0,1.0,-0.09219386728728685
nested_cv,lightgbm,f1,all_folds,none,5,0.5124687433778343,0.4377008724726654,0.0,1.0,0.0
nested_cv,lightgbm,f1,excluding_episode_dominated,4,4,0.392722681359045,0.39981071674530166,0.0,1.0,-0.11974606201878935
nested_cv,lightgbm,precision,all_folds,none,5,0.5726563455377015,0.44951252932337055,0.014512821135358456,1.0,0.0
nested_cv,lightgbm,precision,excluding_episode_dominated,4,4,0.47005772005772006,0.4463617729552067,0.0,1.0,-0.10259862547998144
nested_cv,lightgbm,recall,all_folds,none,5,0.4858496905393457,0.4490704691500391,0.0,1.0,0.0
nested_cv,lightgbm,recall,excluding_episode_dominated,4,4,0.3573121131741821,0.39842145572765725,0.0,0.9912895580373017,-0.12853757736516358
nested_cv,lightgbm,brier,all_folds,none,5,0.06856345347264389,0.04486277532608425,0.012858960490740944,0.12426794645454683,0.0
nested_cv,lightgbm,brier,excluding_episode_dominated,4,4,0.08267453071542245,0.03682492100376951,0.024077863820017115,0.1412711976108278,0.01411107724277856
