protocol,model,fold,roc_auc,pr_auc,f1,precision,recall,brier,n_test,n_positive,test_positive_rate,n_train
onset,moisture_threshold,5,0.906140350877193,0.3920721868413447,0.5454545454545454,0.41379310344827586,0.8,0.07473596944357667,167,15,0.08982035928143713,836
onset,logistic,1,0.516260162601626,0.3471076339497392,0.0,0.0,0.0,0.017843296131245124,167,3,0.017964071856287425,168
onset,logistic,2,0.8876543209876543,0.21175287356321837,0.0,0.0,0.0,0.027062207099829243,167,5,0.029940119760479042,335
onset,logistic,3,0.729559748427673,0.1436801923076284,0.16666666666666666,0.25,0.125,0.05629420613866384,167,8,0.04790419161676647,502
onset,logistic,4,0.9115884115884116,0.4895778372753645,0.14285714285714285,1.0,0.07692307692307693,0.056477959113348984,167,13,0.07784431137724551,669
onset,logistic,5,0.900438596491228,0.42920454501778776,0.34782608695652173,0.5,0.26666666666666666,0.07689388185056255,167,15,0.08982035928143713,836
onset,xgboost,1,0.673780487804878,0.038363708624311585,0.0,0.0,0.0,0.017781769611330954,167,3,0.017964071856287425,168
onset,xgboost,2,0.9351851851851851,0.29388888888888887,0.0,0.0,0.0,0.025782426003173906,167,5,0.029940119760479042,335
onset,xgboost,3,0.7676886792452831,0.11252009553268943,0.0,0.0,0.0,0.05594540252985299,167,8,0.04790419161676647,502
onset,xgboost,4,0.8671328671328672,0.34903405139683263,0.11764705882352941,0.25,0.07692307692307693,0.07853962925205087,167,13,0.07784431137724551,669
onset,xgboost,5,0.9276315789473685,0.709702542911498,0.7142857142857143,0.7692307692307693,0.6666666666666666,0.052571035082227394,167,15,0.08982035928143713,836
onset,lightgbm,1,0.4654471544715447,0.03006734006734007,0.0,0.0,0.0,0.01796712678590044,167,3,0.017964071856287425,168
onset,lightgbm,2,0.9135802469135803,0.20015873015873015,0.0,0.0,0.0,0.03528096670021355,167,5,0.029940119760479042,335
onset,lightgbm,3,0.9072327044025157,0.4209325396825397,0.0,0.0,0.0,0.04806824473250036,167,8,0.04790419161676647,502
onset,lightgbm,4,0.8681318681318682,0.33272534028794065,0.1111111111111111,0.2,0.07692307692307693,0.09481673224888378,167,13,0.07784431137724551,669
onset,lightgbm,5,0.8587719298245613,0.43901740372231335,0.2857142857142857,0.3076923076923077,0.26666666666666666,0.10680315884329328,167,15,0.08982035928143713,836
nested_cv,xgboost,1,0.7484766418415708,0.06651789635312627,0.0,0.0,0.0,0.04563022212259496,218,7,0.03211009174311927,223
nested_cv,xgboost,2,0.5350259067357513,0.17830684341004865,0.0975609756097561,0.125,0.08,0.12686746236257296,218,25,0.11467889908256881,441
nested_cv,xgboost,3,0.9578856897292651,0.8537455508331995,0.5964912280701754,0.9444444444444444,0.4358974358974359,0.07792960422062487,218,39,0.17889908256880735,659
nested_cv,xgboost,4,0.9988244514106583,0.9997077521437375,0.9856733524355301,0.9828571428571429,0.9885057471264368,0.015949928698364525,218,174,0.7981651376146789,877
nested_cv,xgboost,5,0.9586206896551724,0.9074615508271696,0.8292682926829268,0.7846153846153846,0.8793103448275862,0.08564641447101037,218,58,0.26605504587155965,1095
nested_cv,lightgbm,1,0.8534190927555856,0.20967245715144872,0.0,0.0,0.0,0.03239097886051404,218,7,0.03211009174311927,223
nested_cv,lightgbm,2,0.6488082901554404,0.21463198544844003,0.1111111111111111,0.18181818181818182,0.08,0.12065220280122468,218,25,0.11467889908256881,441
nested_cv,lightgbm,3,0.9535883111302106,0.828938602083785,0.6333333333333333,0.9047619047619048,0.48717948717948717,0.08552838601832564,218,39,0.17889908256880735,659
nested_cv,lightgbm,4,0.9984326018808778,0.9996004305271072,0.9914529914529915,0.9830508474576272,1.0,0.012119144501529615,218,174,0.7981651376146789,877
nested_cv,lightgbm,5,0.9568965517241379,0.9012813316790165,0.8264462809917356,0.7936507936507936,0.8620689655172413,0.09212655518162542,218,58,0.26605504587155965,1095
